date,open,high,low,close,adj_close
2025-01-21,1538.55,1545.39,1487.45,1491.31,1491.31
2025-01-22,1490.67,1498.8,1452.31,1474.16,1474.16
2025-01-23,1466.18,1518.67,1451.81,1484.67,1484.67
2025-01-24,1487.0,1487.0,1435.55,1443.98,1443.98
2025-01-27,1437.44,1439.67,1397.78,1406.46,1406.46
2025-01-28,1402.89,1439.76,1393.52,1418.55,1418.55
2025-01-29,1411.81,1470.69,1406.26,1461.33,1461.33
2025-01-30,1417.61,1417.61,1251.46,1258.3,1258.3
2025-01-31,1258.3,1272.48,1228.31,1249.92,1249.92
2025-02-01,1258.99,1320.26,1125.16,1312.48,1312.48
2025-02-03,1303.7,1394.41,1265.59,1389.16,1389.16
2025-02-04,1408.93,1432.48,1359.17,1388.46,1388.46
2025-02-05,1387.87,1424.89,1376.32,1382.42,1382.42
2025-02-06,1387.87,1402.29,1333.1,1339.99,1339.99
2025-02-07,1318.48,1375.97,1310.54,1371.26,1371.26
2025-02-10,1371.26,1377.66,1341.82,1356.54,1356.54
2025-02-11,1349.31,1353.62,1275.85,1281.45,1281.45
2025-02-12,1278.62,1301.23,1254.04,1287.89,1287.89
2025-02-13,1288.73,1295.43,1234.76,1237.73,1237.73
2025-02-14,1239.17,1253.05,1191.78,1203.33,1203.33
2025-02-17,1189.6,1234.16,1172.45,1230.84,1230.84
2025-02-18,1231.73,1235.15,1192.48,1216.22,1216.22
2025-02-19,1214.38,1278.38,1202.39,1272.97,1272.97
2025-02-20,1261.97,1279.91,1244.17,1268.07,1268.07
2025-02-21,1263.95,1288.49,1246.65,1258.0,1258.0
2025-02-24,1249.08,1280.71,1232.97,1266.08,1266.08
2025-02-25,1268.91,1290.32,1252.55,1266.63,1266.63
2025-02-27,1273.96,1310.35,1263.95,1301.28,1301.28
2025-02-28,1298.65,1323.98,1271.98,1308.66,1308.66
2025-03-03,1335.48,1368.04,1310.69,1354.31,1354.31
2025-03-04,1362.99,1412.65,1352.08,1397.34,1397.34
2025-03-05,1397.78,1405.46,1369.88,1375.77,1375.77
2025-03-06,1397.78,1409.23,1376.37,1394.06,1394.06
2025-03-07,1402.54,1405.66,1368.04,1393.27,1393.27
2025-03-10,1391.83,1422.37,1378.6,1385.64,1385.64
2025-03-11,1377.91,1405.71,1360.11,1393.92,1393.92
2025-03-12,1400.01,1439.42,1396.34,1432.92,1432.92
2025-03-13,1439.37,1451.17,1382.52,1390.4,1390.4
2025-03-17,1392.28,1448.09,1390.79,1445.81,1445.81
2025-03-19,1464.2,1517.73,1464.2,1482.24,1482.24
2025-03-20,1497.06,1497.06,1452.85,1457.16,1457.16
2025-03-21,1447.35,1451.26,1399.76,1417.11,1417.11
2025-03-24,1425.39,1444.08,1419.79,1436.54,1436.54
2025-03-25,1440.41,1441.9,1405.71,1409.73,1409.73
2025-03-26,1417.61,1423.56,1404.28,1416.27,1416.27
2025-03-27,1407.7,1422.57,1401.4,1411.07,1411.07
2025-03-28,1417.61,1457.06,1415.63,1446.06,1446.06
2025-04-01,1417.61,1417.61,1336.17,1340.33,1340.33
2025-04-02,1348.22,1352.53,1316.49,1333.15,1333.15
2025-04-03,1318.47,1345.19,1315.65,1340.28,1340.28
2025-04-04,1334.34,1339.29,1283.78,1286.85,1286.85
2025-04-07,1210.52,1295.53,1210.52,1283.73,1283.73
2025-04-08,1321.45,1323.18,1285.12,1309.21,1309.21
2025-04-09,1299.64,1302.12,1262.96,1266.68,1266.68
2025-04-11,1288.73,1290.72,1266.33,1273.77,1273.77
2025-04-15,1298.95,1298.95,1266.13,1278.13,1278.13
2025-04-16,1280.8,1285.86,1262.96,1266.03,1266.03
2025-04-17,1269.01,1283.38,1252.15,1273.77,1273.77
2025-04-21,1276.84,1309.55,1272.68,1306.58,1306.58
2025-04-22,1308.56,1345.44,1291.21,1332.95,1332.95
2025-04-23,1342.27,1342.27,1274.86,1287.74,1287.74
2025-04-24,1297.66,1297.66,1263.46,1264.94,1264.94
2025-04-25,1269.9,1273.77,1212.6,1218.75,1218.75
2025-04-28,1219.44,1243.03,1219.34,1235.6,1235.6
2025-04-29,1240.16,1259.89,1234.61,1253.64,1253.64
2025-04-30,1249.18,1251.06,1213.39,1225.39,1225.39
2025-05-02,1221.72,1229.25,1189.6,1193.17,1193.17
2025-05-05,1208.44,1240.16,1204.37,1229.55,1229.55
2025-05-06,1231.24,1237.78,1211.91,1218.94,1218.94
2025-05-07,1192.08,1244.92,1192.08,1233.22,1233.22
2025-05-08,1276.84,1276.84,1201.6,1212.5,1212.5
2025-05-09,1179.69,1229.25,1179.69,1224.89,1224.89
2025-05-12,1251.96,1257.81,1240.56,1254.73,1254.73
2025-05-13,1256.02,1266.03,1244.12,1246.8,1246.8
2025-05-14,1249.08,1255.72,1226.48,1237.68,1237.68
2025-05-15,1239.17,1253.94,1238.57,1251.46,1251.46
2025-05-16,1258.99,1258.99,1241.65,1250.47,1250.47
2025-05-19,1256.71,1270.79,1249.08,1258.99,1258.99
2025-05-20,1266.93,1266.93,1226.38,1228.66,1228.66
2025-05-21,1231.24,1260.78,1229.55,1257.61,1257.61
2025-05-22,1257.01,1265.74,1249.97,1260.98,1260.98
2025-05-23,1251.06,1265.64,1242.44,1249.38,1249.38
2025-05-26,1255.03,1257.41,1237.58,1242.94,1242.94
2025-05-27,1241.15,1258.0,1238.47,1250.77,1250.77
2025-05-28,1249.08,1252.95,1241.55,1246.9,1246.9
2025-05-29,1246.6,1262.46,1245.51,1251.16,1251.16
2025-05-30,1249.48,1261.97,1244.12,1251.86,1251.86
2025-06-02,1249.08,1251.56,1233.22,1235.2,1235.2
2025-06-03,1237.28,1248.49,1213.79,1217.46,1217.46
2025-06-04,1219.44,1226.08,1214.48,1218.75,1218.75
2025-06-05,1219.34,1241.05,1214.88,1236.69,1236.69
2025-06-06,1241.94,1262.96,1239.17,1260.09,1260.09
2025-06-09,1263.75,1289.73,1263.46,1275.35,1275.35
2025-06-10,1283.78,1308.26,1260.48,1306.28,1306.28
2025-06-11,1316.19,1316.49,1285.76,1300.93,1300.93
2025-06-12,1300.93,1308.07,1271.09,1278.72,1278.72
2025-06-13,1251.06,1281.4,1251.06,1266.13,1266.13
2025-06-16,1261.77,1305.29,1255.62,1302.22,1302.22
2025-06-17,1302.22,1311.04,1271.19,1282.99,1282.99
2025-06-18,1258.8,1283.48,1250.57,1280.31,1280.31
2025-06-19,1278.82,1285.46,1244.12,1250.07,1250.07
2025-06-20,1247.58,1307.89,1242.6,1289.85,1289.85
2025-06-23,1275.89,1299.92,1260.24,1290.15,1290.15
2025-06-24,1302.91,1325.74,1297.52,1302.11,1302.11
2025-06-25,1303.6,1312.78,1295.13,1306.89,1306.89
2025-06-26,1318.06,1336.7,1300.91,1312.98,1312.98
2025-06-27,1318.76,1325.54,1293.94,1301.21,1301.21
2025-06-30,1305.9,1315.87,1295.93,1309.98,1309.98
2025-07-01,1314.87,1328.33,1308.29,1322.35,1322.35
2025-07-02,1321.85,1338.79,1310.98,1328.63,1328.63
2025-07-03,1332.81,1375.68,1323.14,1362.72,1362.72
2025-07-04,1365.41,1389.83,1349.06,1360.13,1360.13
2025-07-07,1359.73,1364.21,1335.8,1361.42,1361.42
2025-07-08,1362.72,1368.7,1346.27,1366.91,1366.91
2025-07-09,1356.64,1378.07,1356.64,1362.62,1362.62
2025-07-10,1360.73,1370.69,1357.54,1364.61,1364.61
2025-07-11,1365.71,1367.6,1349.06,1365.21,1365.21
2025-07-14,1365.71,1375.08,1357.04,1372.49,1372.49
2025-07-15,1372.19,1395.62,1370.69,1392.23,1392.23
2025-07-16,1387.74,1395.52,1374.58,1392.92,1392.92
2025-07-17,1395.62,1395.62,1382.66,1386.34,1386.34
2025-07-18,1380.76,1390.63,1364.71,1372.69,1372.69
2025-07-21,1366.21,1387.64,1365.51,1381.36,1381.36
2025-07-22,1367.9,1373.98,1338.59,1353.15,1353.15
2025-07-23,1352.05,1364.71,1343.78,1363.32,1363.32
2025-07-24,1355.74,1361.42,1337.6,1339.79,1339.79
